Time;Cube Type;Cube Pos;;;Cube Rot;;
52,08;0;0;0;-56,70213;0;0;0
81,54;1;0;0;-56,71301;0;0;225
83,56;0;0;0;-56,69665;0;0;90
95,04;0;-0,00360775;0;-56,68333;0;1,366038E-05;180
96,82;0;-0,003611565;0;-56,70063;4,829673E-06;4,829673E-06;90
99;0;-0,003680229;0;-56,6996;0;1,366038E-05;180
100,76;0;-0,003834724;0;-56,68624;3,920698E-06;9,465408E-06;135
136,84;0;-0,00385952;0;-56,7062;3,920698E-06;9,465408E-06;135
173,56;1;0;0;-56,68478;0;0;135
184,14;0;0;0;-56,70199;0;0;225
186,04;1;0;0;-56,69721;0;0;180
192,1;1;0;0;-56,69139;0;0;225
192,1;1;0;0;-56,69139;0;0;225
192,68;1;0;0;-56,72658;0;0;180
211,08;0;9,536743E-07;0;-56,70029;0;0;0
211,88;0;6,67572E-06;0;-56,72665;0;0;315
