Time;Cube Type;Cube Pos;;;Cube Rot;;;Controller Pos;;;Controller Rot;;;Controller Velocity;;;Controller Acceleration;;;Controller Angular Velocity;;;Controller Angular Acceleration;;
35,38333;0;0;0;-45,38799;0;0;90;-0,6524322;1,38878;0,1038777;18,80564;338,1907;350,4057;0,7639115;-0,6071938;1,191092;12,75519;-6,486364;-0,1792547;0,4703833;6,670984;2,156496;37,4088;145,2395;61,44651
38,14603;0;0;0;-45,10335;0;0;0;-0,4088396;1,571641;0,4331132;355,696;351,7878;335,6187;-0,3928072;-2,261152;1,130449;-2,950898;-17,1567;-3,785961;7,691453;2,899137;0,1045535;94,01144;31,3955;16,1939
39,08295;0;0;0;-45,4602;0;0;180;-0,6546181;1,348502;0,3600575;27,69257;334,0742;348,6902;-0,254434;1,919331;1,247887;5,968225;10,83248;-4,829211;-6,003877;0,1012026;1,017453;-34,79287;35,65147;21,36783
40,39721;0;0;0;-45,37146;0;0;315;-0,631192;1,876156;0,3493427;337,2633;331,1974;340,1232;-1,186055;-0,6352587;0,6708558;-9,685321;-9,986904;2,881609;8,558385;-1,087401;2,1008;137,5672;-36,24411;106,3348
41,44548;0;0;0;-45,50525;0;0;225;-0,6699866;1,751591;0,3179547;0,754943;336,5893;336,325;-0,9334739;1,250926;-0,1209261;1,77972;4,437281;-8,603519;-2,952239;-7,290495;-0,7030082;-20,49367;-52,71983;34,30868
42,43364;0;0;0;-45,64743;0;0;135;-0,7309319;1,796094;0,2970524;346,1268;330,2069;334,7866;0,4838026;1,431474;-0,1500798;2,83541;-3,570874;-4,399632;-5,295892;-1,488105;1,214521;5,1299;28,90593;-0,09178391
44,22128;0;0;0;-45,02844;0;0;270;-0,5868627;1,374408;0,50597;23,81007;333,6649;321,3571;-1,478396;-0,1369429;0,9635454;-9,317397;4,849403;-10,11338;4,204308;-8,626922;0,2639599;72,314;-118,6203;-29,17138
49,45573;0;0;0;-45,53141;0;0;180;-0,3485507;1,78807;0,2975937;342,692;353,3134;347,2647;0,1602699;1,783151;-0,3794917;0,5672577;-4,425265;-7,453225;-6,506845;-1,29053;-0,4776777;-7,138931;12,81991;-18,84295
50,41865;0;0;0;-45,40026;0;0;315;-0,3067585;1,636117;0,3750804;357,2966;355,2402;335,4678;-0,7500023;-0,8986068;0,5779001;-8,336119;-6,997641;2,462777;5,584351;-1,080528;1,400304;76,36659;-16,01971;81,3616
52,93328;0;0;0;-45,27395;0;0;180;-0,6704345;1,769732;0,377147;351,6354;337,0194;343,9377;-0,04290459;1,814094;-0,04664098;2,371134;0,56106;-8,169668;-5,804378;-2,565236;-0,8264726;-12,06016;-28,67931;-2,247473
53,89634;0;0;0;-45,49616;0;0;180;-0,3979327;1,284519;0,3692867;39,13276;341,0731;345,8925;0,1069434;1,540619;1,382565;-0,5238391;9,861543;-6,918697;-5,549358;-1,26163;1,799587;-25,69057;3,573409;25,98886
54,85875;0;0;0;-45,38532;0;0;135;-0,3365909;1,5095;0,3064686;18,94977;344,1158;333,9718;0,2467067;1,481804;0,4438495;2,28748;1,738258;-6,009126;-5,425852;-0,5740148;-0,624923;-28,25391;11,80273;-21,636
55,96585;0;0;0;-45,46915;0;0;180;-0,6738464;1,36289;0,390867;12,35608;320,9543;336,7627;-0,1463415;1,648407;0,7517303;9,230997;6,242242;-9,421922;-6,400283;-3,216197;5,576928;-84,58524;56,43166;60,16998
56,49146;0;0;0;-45,28072;0;0;135;-0,5082531;1,534307;0,3913848;358,1899;351,0347;336,1866;0,4795498;1,398864;0,1565944;-0,5418695;4,456874;-5,923774;-6,498138;-1,851915;1,235117;-33,34013;-8,747131;10,74505
57,38348;0;0;0;-45,35921;0;0;45,00002;-0,6808097;1,369074;0,3891945;16,26824;335,3065;329,5762;0,09230813;-1,187879;0,2235787;5,424737;-6,797729;-3,487458;2,371431;3,308913;0,1448479;10,71255;60,32786;-26,00108
58,434;0;0;0;-45,36315;0;0;135;-0,7481623;1,741434;0,4072858;1,716875;339,4526;325,8192;0,2299405;1,805134;0,2449937;2,159344;0,538984;-6,601183;-4,245063;-1,596059;0,3291604;-0,5309755;-1,747608;-7,181149
59,04665;0;0;0;-45,23264;0;0;45,00002;-0,7811901;1,856668;0,5239925;359,7584;330,1509;329,1704;-0,06138517;-1,203385;0,8568808;6,460568;-9,855113;-3,702957;4,01411;4,369133;-1,382787;40,57893;57,85283;-34,02748
59,8599;0;0;0;-45,30966;0;0;180;-0,6847713;1,413586;0,4069253;8,214697;335,0028;302,9402;-0,2045234;1,786824;0,665223;1,770998;9,40997;-7,069612;-4,452435;-6,464095;1,309143;-34,11586;-42,31214;1,395335
60,51018;0;0;0;-45,48263;0;0;225;-0,4046608;1,5067;0,3691598;14,61136;4,022272;329,272;-0,601594;1,053604;0,5485091;-11,63161;2,446578;-5,135768;-1,083297;-6,58362;3,444659;10,37026;-33,48421;12,46485
64,48468;0;0;0;-45,40724;0;0;45,00002;-0,3114902;1,613446;0,3766811;2,681962;346,3187;332,6299;0,3670599;-0,6403631;0,539875;3,896978;-14,94848;-2,269613;2,873735;5,652272;-0,7879341;71,33936;69,85812;-32,64841
67,0103;0;0;0;-45,38607;0;0;0;-0,315279;1,364723;0,3167728;23,13721;349,8965;338,6111;-0,1352756;-1,451384;0,2739057;-1,028628;-14,49763;-3,700396;5,952129;2,725094;2,100226;84,3885;37,1343;31,14695
69,05029;0;0;0;-45,1968;0;0;315;-0,3299771;1,630581;0,46432;4,974123;351,3829;314,859;-0,3984546;-1,528899;0,8924159;-4,241964;-5,86048;-7,244264;7,425228;1,427375;1,602306;32,53165;29,44247;81,34138
70,51937;0;0;0;-45,15046;0;0;135;-0,6807634;1,804694;0,4944747;347,9495;329,8445;334,6387;0,08132271;1,670233;-0,02630707;1,662508;-0,6252177;-8,477998;-4,566864;-3,431425;2,606825;-22,32801;-21,94566;29,73173
72,09729;0;0;0;-45,24538;0;0;315;-0,3233621;1,549587;0,391407;349,8181;351,1685;319,722;-0,4338996;-1,01017;0,474873;-2,049501;-10,61258;-0,252463;3,883634;-0,9462129;-1,27315;16,89953;27,46358;13,78262
73,92238;0;0;0;-45,32333;0;0;180;-0,669062;1,496484;0,4677831;9,648176;333,6381;336,9987;-0,2969685;1,588295;0,6686298;1,289377;1,277086;-8,830379;-4,248833;-2,965505;1,633696;-1,728327;-4,032886;21,89896
76,53534;0;0;0;-45,22216;0;0;270;-0,2859473;1,814326;0,417246;341,6609;356,7172;320,3293;-0,8660635;0,5886593;0,3506279;-3,146909;-7,620254;-3,516905;2,319346;-3,620472;3,104561;-7,52717;26,63448;74,13375
78,48591;0;0;0;-45,17929;0;0;0;-0,6985088;1,954123;0,49362;351,2695;339,6249;342,4792;-0,6182643;-0,5078615;0,8784493;0,3794529;-18,75858;1,275906;7,38232;1,754292;2,48279;120,0938;27,66972;25,47156
81,68597;0;-0,00215435;0;-45,52186;4,829673E-06;4,829673E-06;90;0,1772712;1,580231;0,2496562;1,896274;67,54415;334,1706;0,3329508;-0,05122115;-0,1810167;-1,310548;-0,3890831;-14,16675;-1,413939;4,778538;-2,451502;-35,87658;90,38513;-59,58841
82,94819;0;-0,002117157;0;-45,23478;4,829673E-06;4,829673E-06;90;0,3999437;1,451839;0,3405406;27,82128;74,67705;316,9858;0,08091109;-0,7825254;-0,7860062;-3,891896;1,829339;-6,14255;-2,203116;4,263238;-0,838335;-23,73019;54,24241;-9,628402
87,14372;0;-0,001929283;0;-45,53879;0;1,366038E-05;180;0,3392816;1,365461;0,5762748;28,42272;51,58256;344,4942;0,3828856;0,9748359;0,7941363;-2,8384;2,88991;-4,402609;-3,089903;-1,239583;1,348408;-6,229599;11,9705;-23,95793
88,27433;0;-0,001850128;0;-45,27946;0;1,366038E-05;180;0,4690101;1,614672;0,6515288;14,11816;58,08596;353,0215;0,1245298;1,693159;0,09435997;-5,891477;6,457078;-3,496757;-4,729583;-0,2743975;0,918695;-25,62841;10,89428;-22,64758
88,33927;0;-0,001868248;0;-45,40736;0;1,366038E-05;180;0,4364256;1,761019;0,6390409;348,9048;56,84496;355,528;-0,3633865;1,829241;-0,136497;-5,834283;-3,66689;-4,509918;-5,545658;-0,8147364;0,6826717;3,479242;8,937468;8,852831
92,41916;0;-0,001887321;0;-45,52728;0;1,366038E-05;180;0,2916545;1,502194;0,3372587;9,865978;75,11551;328,1527;0,4523175;1,329231;-0,06747248;-5,458687;5,570516;2,551503;-4,949222;-2,758676;0,8574355;-9,695903;-10,95496;27,98334
96,23516;0;-0,002063751;0;-45,14209;4,829673E-06;4,829673E-06;90;0,6135076;1,298121;0,3255912;21,11097;61,67511;337,7602;0,172106;-0,3026449;-1,102378;-0,00733709;-2,109328;-18,21454;-0,5013088;2,266461;0,2055195;-33,35143;85,18864;-71,37476
96,29754;0;-0,002082825;0;-45,26651;4,829673E-06;4,829673E-06;90;0,5956843;1,270226;0,1779356;29,17281;97,03585;336,6758;-0,2231409;-0,3998455;-2,076267;-13,26854;1,936202;-7,632071;-1,57539;8,085717;-2,914786;-14,05996;59,55595;-50,27743
98,97448;0;-0,002101898;0;-45,19202;-4,732704E-06;1,96035E-06;315;0,3988279;1,613389;0,2904326;4,919332;83,29049;334,5601;0,5278536;-0,8174404;1,079911;-2,650705;-12,0824;9,926208;6,703853;-3,562667;2,376515;55,53801;-35,59229;22,83796
