Time;Cube Type;Cube Pos;;;Cube Rot;;;Controller Pos;;;Controller Rot;;;Controller Velocity;;;Controller Acceleration;;;Controller Angular Velocity;;;Controller Angular Acceleration;;
36,25803;1;0;0;-45,10099;0;0;315;0,03242523;1,382587;0,4124928;33,38161;351,6957;35,87202;-0,6044095;-0,4272317;-0,0008068293;9,629134;12,53497;1,910105;2,143253;-1,559406;5,505597;129,004;204,4877;106,9696
37,14557;1;0;0;-44,87565;0;0;0;0,2408994;1,887382;0,5016716;356,6699;19,08804;50,71712;0,3627948;-1,489601;1,178688;-2,990482;-13,88891;-11,32062;8,579751;-9,669753;0,6720325;120,3534;-97,83551;-34,66229
43,09631;1;0;0;-45,31208;0;0;270;0,09374484;1,786273;0,4354022;343,7627;6,802051;347,9448;-1,605222;1,076261;0,3078017;-11,94186;-0,7727436;-11,02453;-0,8882718;-9,314521;0,3885572;-25,06311;-120,6849;70,03233
45,15912;1;0;0;-45,13122;0;0;270;0,05465733;1,789883;0,4768248;339,7757;6,616021;7,793885;-1,310815;0,7286537;0,1596712;-1,723081;-1,704313;-11,88446;-3,835531;-6,447277;0,7467995;-38,3689;-16,55798;9,015806
47,03454;1;0;0;-45,16735;0;0;135;-0,01049636;1,529763;0,3807057;0,8991582;4,312621;22,54273;0,6362467;0,9299349;0,5400823;5,13842;1,297439;-5,768907;-2,844224;7,36865;-2,507932;-15,94597;67,73488;-22,14108
48,25903;1;0;0;-45,27056;0;0;135;0,2201884;1,345061;0,3700503;19,46898;21,60528;37,56432;0,8463902;0,5902432;0,4252526;6,300725;12,11389;-0,5969541;-2,463262;6,693229;-1,587813;-41,13484;151,5572;-41,58649
51,10883;1;0;0;-45,48662;0;0;90;0,3121648;1,508421;0,2888629;6,710877;14,97066;343,0663;1,37262;-0,03080654;0,2768872;4,783477;-2,979739;-4,54689;-1,484178;6,914602;-2,014909;-9,389705;107,0028;103,4827
52,01996;1;0;0;-45,60742;0;0;270;0,4705139;1,736872;0,41483;348,0345;33,0659;340,1571;-1,351289;0,3407411;0,4538078;-10,83614;4,470818;-2,551862;0,2917387;-6,189351;0,5988339;-7,424754;-131,5325;4,764881
54,40919;1;0;0;-45,52948;0;0;270;0,4224969;1,308899;0,3205811;23,89215;20,93482;347,5482;-0,8057667;-0,1680322;0,7772138;-12,32001;3,037126;-0,9563183;1,466553;-9,068429;0,6844953;23,30685;-134,3379;-6,492128
55,34631;1;0;0;-45,38518;0;0;135;-0,01006082;1,449515;0,338958;1,805269;0,06956716;20,65873;0,09463911;0,7916682;0,1979489;7,342435;8,007048;-4,08019;-3,215198;6,591704;-1,662567;-9,564231;85,41499;-58,91099
57,9589;1;0;0;-45,44315;0;0;135;-0,1029749;1,242511;0,4086804;31,74387;8,224523;45,23293;0,7672084;0,2102298;0,8429783;9,507927;12,86289;1,234324;-0,4608645;7,888404;-2,410186;5,217383;121,4945;-60,18497
61,2978;1;0;0;-45,50955;0;0;0;0,0155701;1,812183;0,3374234;345,7025;3,900726;45,43227;-0,1956742;-1,171499;0,4168459;-0,7841085;-15,95271;2,447732;4,849282;-7,190255;-1,248695;75,25134;-154,2599;-16,14437
61,89657;1;0;0;-45,50113;0;0;270;0,07727543;1,53892;0,253786;8,164405;12,47654;357,4191;-1,105792;0,251449;0,244287;-14,51339;4,860938;-0,2577102;-0,1016975;-6,508506;-0,9498681;1,740691;-163,3205;19,68791
62,3846;1;0;0;-45,48263;0;0;45,00002;-0,02819082;1,365969;0,3024061;38,11573;348,9288;19,59818;0,6690684;-1,771922;0,09158104;5,507885;-1,280884;-8,416748;8,049878;-0,4992656;-1,810964;16,50189;-10,22279;-59,15011
63,34694;1;0;0;-45,33748;0;0;225;0,4126287;1,701723;0,3445459;342,1041;29,00972;57,44356;-0,4217885;1,434025;0,1929852;-5,037029;1,709965;-8,06169;-5,173932;4,859962;-1,540473;-26,46608;30,67714;-8,560218
63,98452;1;0;0;-45,51678;0;0;180;0,3371812;1,272892;0,3551363;23,92755;18,46451;34,80999;-0,0895414;0,5848047;1,026961;4,09242;17,54004;-3,262099;-8,462618;6,596971;-5,423614;-171,9937;129,4172;-97,69315
64,98481;1;0;0;-45,26203;0;0;270;0,1742543;1,342745;0,3995717;24,59195;1,075785;354,593;-1,141267;-0,122578;0,4210149;-4,612169;-0,3537219;-3,947726;1,57813;-6,859297;1,604946;27,53226;-86,32027;7,858154
65,81008;1;0;0;-45,3555;0;0;135;0,3123489;1,54309;0,4751992;2,871492;24,198;53,47271;0,601485;0,9182556;0,017549;-2,080773;0,2017155;-6,841398;-1,156876;7,404688;0,7362236;-11,71189;67,97288;-19,86021
66,43511;1;0;0;-45,55536;0;0;225;0,1126616;1,707699;0,3803539;327,9637;3,080245;52,09731;-0,6189597;1,278893;-0,6210093;3,143181;2,47694;-10,67557;-5,083363;6,560254;-2,814165;-40,55286;54,44807;-52,6345
71,18242;1;0;0;-45,46208;0;0;315;0,3769369;1,863542;0,3416318;343,3204;20,63442;22,0877;-0,4415184;-0,1826852;0,673332;-6,142793;-9,887076;-0,9121662;0,559885;-5,74978;0,895853;-2,522479;-78,1741;20,04168
73,29685;1;0;0;-45,28513;0;0;135;-0,07466606;1,223877;0,4791739;24,51226;5,802569;23,23805;0,6368635;0,654092;0,9130736;8,667644;7,98778;-2,48078;-4,39251;7,74114;-3,952699;-33,66058;158,5823;-65,02875
74,53442;1;0;0;-45,19418;0;0;270;0,06994161;1,802614;0,4685335;341;9,054325;26,1421;-0,8759425;0,8567209;0,1045187;-5,631721;0,7514836;-9,676365;-5,759212;-1,712478;0,1729513;-80,6632;-22,55722;-15,42733
79,33611;1;0;0;-45,26499;0;0;135;-0,03464941;1,548691;0,4123265;12,57806;4,949066;54,48234;0,8810371;1,650657;0,5501804;9,471602;7,427191;-4,637014;0,06576873;6,886009;-1,957918;-0,1253175;103,2884;-71,27212
80,42432;1;0;0;-45,17432;0;0;90;-0,03577958;1,572616;0,5152976;6,760355;350,4447;20,93848;1,098283;0,3730768;0,4270762;23,79604;3,936715;-0,8465814;0,4920733;7,423945;-3,847327;-30,57605;218,5733;-235,0859
84,19861;1;-0,002082825;0;-45,16111;0;0;0;0,4125191;1,369251;-0,4112499;15,63665;104,4638;29,27163;0,06572977;-1,712123;-0,2223627;-6,571591;-7,082181;0,183019;6,230977;-2,224904;0,4264676;81,95648;-26,9236;4,799882
85,17432;1;-0,002071381;0;-45,12762;4,829673E-06;4,829673E-06;90;0,4288935;1,584178;-0,05957914;4,779522;78,7697;10,40017;0,5186617;0,5593347;-1,078754;-2,323249;-1,510727;-8,81731;-0,1733795;6,049151;-2,895971;-12,08149;52,28347;-69,56461
86,31683;1;-0,002017975;0;-45,14508;-4,732704E-06;1,96035E-06;315;0,4918166;1,78628;-0,4179696;347,1685;111,4788;4,169406;0,5631502;-0,8828885;0,9962063;0,2940603;-6,340189;8,417917;1,606424;-3,314219;-1,062767;7,392847;-25,55513;14,09081
86,41671;1;-0,00203228;0;-45,34461;-4,732704E-06;1,96035E-06;315;0,5190499;1,618698;-0,2269157;10,10565;85,38281;14,26104;0,2597969;-1,571354;1,780733;-7,837262;-6,134514;6,950304;2,836154;-5,561881;0,8535757;9,302038;-52,52235;27,69668
87,0942;1;-0,001921654;0;-45,43497;4,829673E-06;4,829673E-06;90;0,3858813;1,47421;-0,2261522;15,36306;102,0684;9,180543;0,2165765;-0,3037158;-1,509417;-3,446162;-3,562815;-3,370524;1,103583;5,118737;-0,4088125;20,32477;9,693659;-8,781506
90,34488;1;-0,001869202;0;-45,2564;0;0;0;0,4700357;1,621452;-0,02029598;7,573678;95,07328;42,09261;0,275686;-1,315602;0,09898496;-4,207469;-14,50489;-0,7128065;4,556066;-4,627149;-0,2785118;74,79018;-96,25549;-29,99743
94,39711;1;-0,002131462;0;-45,38625;0;1,366038E-05;180;0,4916283;1,193958;-0,3414553;22,26518;129,8077;38,79078;1,223226;1,04777;-0,6584005;-8,825262;14,05382;-1,295139;-3,587085;7,669324;-3,572338;-21,33698;105,2559;-86,94302
95,10954;1;-0,002114296;0;-45,38036;3,920698E-06;9,465408E-06;135;0,5104136;1,76766;0,3348099;342,5586;81,8728;29,57269;0,3909167;1,724017;-0,2029041;-9,768326;15,18813;-18,52428;-2,940752;9,235847;-3,276155;-72,50544;175,2578;-40,59449
97,31105;1;-0,002117157;0;-45,27909;3,920698E-06;9,465408E-06;135;0,5578827;1,187903;-0,3711289;24,5538;107,295;32,48505;1,049025;1,055649;-1,24653;-9,549092;4,66958;-2,173411;-1,794359;7,691002;-2,801648;4,913476;50,75904;0,8295065
98,21198;1;-0,00207901;0;-45,14819;0;1,366038E-05;180;0,5857716;1,455527;-0,0316139;9,775927;91,1045;27,78159;0,9401485;2,591635;0,1674018;-11,04237;9,681109;-3,727981;-5,368052;3,761967;-1,412117;-20,85295;1,206336;-1,078745
115,1132;1;-0,002044678;0;-44,99895;-4,732704E-06;1,96035E-06;315;0,6484855;1,756545;-0,2301629;349,3056;121,2501;21,11169;0,4532448;-1,333919;1,386014;-0,7031086;-8,300441;15,08657;0,7926332;-3,119658;0,4010209;-9,962543;-55,62732;16,89796
115,1614;1;-0,002059937;0;-45,09851;-4,732704E-06;1,96035E-06;315;0,6618016;1,650848;-0,1020908;5,755071;90,00182;36,09616;0,3335364;-1,872584;2,189944;-10,50085;-14,60865;13,69314;-0,1319192;-10,30169;2,743278;1,385338;-149,8132;75,40315
116,994;1;-0,001994133;0;-45,42299;-4,829673E-06;4,829673E-06;270;0,5190412;1,56293;-0,3537614;8,944559;97,93844;347,2588;0,8634193;0,7077134;0,8950804;-8,644456;5,205528;12,3453;-1,200594;-7,837486;0,7793236;-22,63914;-90,27312;29,3688
119,8748;1;-0,001826286;0;-45,44278;-4,829673E-06;4,829673E-06;270;0,4626952;1,523097;-0,35605;16,04836;110,8646;354,0236;0,7631583;0,2617677;1,722679;-4,524004;1,945523;19,59256;1,273725;-7,388134;-0,1501908;4,647236;-102,6904;7,778148
119,9169;1;-0,00183773;0;-45,52636;-4,829673E-06;4,829673E-06;270;0,4624048;1,538905;-0,2416271;14,65316;87,14983;356,2495;0,292328;0,367775;2,451383;-16,84362;2,812825;12,56068;0,04983528;-9,584908;1,208195;-34,16762;-44,46521;29,84897
120,3745;1;-0,001818657;0;-45,37724;4,732703E-06;1,960351E-06;45,00002;0,4134528;1,559817;-0,2988153;356,5303;99,47827;2,470646;0,2974788;-1,300121;-1,461178;-3,624101;-11,9638;-5,353109;3,832614;4,899048;1,161718;54,21757;48,15497;16,69086
122,2127;1;-0,001788139;0;-45,41277;0;0;0;0,4854214;1,784121;-0,3899915;347,7292;114,601;50,59605;0,5035172;-0,7707884;-0,1268255;-0,656919;-24,84009;-0,5410278;3,743856;-6,41795;2,04708;67,39561;-192,8043;21,54921
122,2403;1;-0,001795769;0;-45,47068;0;0;0;0,4907887;1,724701;-0,3944719;8,312393;117,024;63,29571;0,3593861;-1,421168;-0,1443773;-10,75382;-20,7316;-0,8579353;5,75775;-9,007415;4,599811;69,02628;-73,51632;101,4786
122,787;1;-0,001797676;0;-45,41439;4,732703E-06;1,960351E-06;45,00002;0,4564575;1,839232;-0,1045892;339,6387;86,12075;50,32856;0,594138;-0,1314048;-0,5595924;4,36761;-10,32087;-13,09362;4,170041;0,8766214;1,083589;109,1296;-22,53728;0,5128147
124,0002;1;-0,002001762;0;-45,5856;0;1,366038E-05;180;0,3749627;1,578247;-0,3079049;3,335622;118,0498;57,2614;0,2126544;1,071001;-0,09054159;-3,718127;11,21169;0,772894;-2,948839;5,295782;0,7514366;-35,57724;37,84077;14,95366
126,4882;1;-0,002087593;0;-45,36542;4,829673E-06;4,829673E-06;90;0,447683;1,531809;-0,2958521;3,419035;109,8713;5,868973;0,4089643;0,07627627;-1,671474;-9,54076;-3,397622;-7,94764;-0,9333447;9,053729;-1,763412;10,87434;123,7894;43,37506
128,0399;1;-0,002156258;0;-45,68519;-4,732704E-06;1,96035E-06;315;0,2543118;1,326067;-0,3258596;41,38834;106,6574;8,897521;-0,2175697;-1,788508;1,232011;-6,222046;-7,35293;14,33488;8,312027;-8,899552;0,6971058;141,8503;-157,1637;109,8177
128,627;1;-0,002192497;0;-45,68328;4,829673E-06;4,829673E-06;90;0,2883678;1,793096;0,005735606;330,9324;81,58607;23,35345;0,3098764;1,677454;-1,434787;-9,281724;-1,236315;-31,8232;-2,226243;13,97656;0,4529803;-17,96448;283,0138;-14,43827
129,9253;1;-0,002123833;0;-45,42134;4,829673E-06;4,829673E-06;90;0,3656726;1,549251;0,06058394;0,9094972;86,39389;358,7751;0,822377;0,5990525;-1,51966;-5,302609;-0,4635922;-20,73271;-3,220428;10,87068;-2,183758;-27,94397;213,9006;-52,74286
134,4134;1;-0,002146721;0;-45,57806;4,829673E-06;4,829673E-06;90;0,3976067;1,254024;-0,1841998;31,99305;103,9201;358,9698;0,3129557;-0,28705;-1,683376;-9,402598;0,5509489;-6,809368;-1,229761;8,386305;-2,83164;-10,75011;101,251;-9,81777
